f_inf (dimensionless),V (millivolt)
0.999052,-68.72
0.99905,-68.71
0.999049,-68.7
0.999048,-68.69
0.999046,-68.68
0.999045,-68.67
0.999044,-68.66
0.999042,-68.65
0.999041,-68.64
0.99904,-68.63
0.999038,-68.62
0.999037,-68.61
0.999035,-68.6
0.999034,-68.59
0.999033,-68.58
0.999031,-68.57
0.99903,-68.56
0.999029,-68.55
0.999027,-68.54
0.999026,-68.53
0.999024,-68.52
0.999023,-68.51
0.999022,-68.5
0.99902,-68.49
0.999019,-68.48
0.999017,-68.47
0.999016,-68.46
0.999015,-68.45
0.999013,-68.44
0.999012,-68.43
0.99901,-68.42
0.999009,-68.41
0.999007,-68.4
0.999006,-68.39
0.999005,-68.38
0.999003,-68.37
0.999002,-68.36
0.999,-68.35
0.998999,-68.34
0.998998,-68.33
0.998996,-68.32
0.998995,-68.31
0.998993,-68.3
0.998992,-68.29
0.99899,-68.28
0.998989,-68.27
0.998987,-68.26
0.998986,-68.25
0.998985,-68.24
0.998983,-68.23
0.998982,-68.22
0.99898,-68.21
0.998979,-68.2
0.998977,-68.19
0.998976,-68.18
0.998974,-68.17
0.998973,-68.16
0.998971,-68.15
0.99897,-68.14
0.998969,-68.13
0.998967,-68.12
0.998966,-68.11
0.998964,-68.1
0.998963,-68.09
0.998961,-68.08
0.99896,-68.07
0.998958,-68.06
0.998957,-68.05
0.998955,-68.04
0.998954,-68.03
0.998952,-68.02
0.998951,-68.01
0.998949,-68
0.998948,-67.99
0.998946,-67.98
0.998945,-67.97
0.998943,-67.96
0.998942,-67.95
0.99894,-67.94
0.998939,-67.93
0.998937,-67.92
0.998936,-67.91
0.998934,-67.9
0.998933,-67.89
0.998931,-67.88
0.99893,-67.87
0.998928,-67.86
0.998926,-67.85
0.998925,-67.84
0.998923,-67.83
0.998922,-67.82
0.99892,-67.81
0.998919,-67.8
0.998917,-67.79
0.998916,-67.78
0.998914,-67.77
0.998913,-67.76
0.998911,-67.75
0.998909,-67.74
0.998908,-67.73
0.998906,-67.72
0.998905,-67.71
0.998903,-67.7
0.998902,-67.69
0.9989,-67.68
0.998899,-67.67
0.998897,-67.66
0.998895,-67.65
0.998894,-67.64
0.998892,-67.63
0.998891,-67.62
0.998889,-67.61
0.998887,-67.6
0.998886,-67.59
0.998884,-67.58
0.998883,-67.57
0.998881,-67.56
0.998879,-67.55
0.998878,-67.54
0.998876,-67.53
0.998875,-67.52
0.998873,-67.51
0.998871,-67.5
0.99887,-67.49
0.998868,-67.48
0.998867,-67.47
0.998865,-67.46
0.998863,-67.45
0.998862,-67.44
0.99886,-67.43
0.998859,-67.42
0.998857,-67.41
0.998855,-67.4
0.998854,-67.39
0.998852,-67.38
0.99885,-67.37
0.998849,-67.36
0.998847,-67.35
0.998845,-67.34
0.998844,-67.33
0.998842,-67.32
0.99884,-67.31
0.998839,-67.3
0.998837,-67.29
0.998835,-67.28
0.998834,-67.27
0.998832,-67.26
0.99883,-67.25
0.998829,-67.24
0.998827,-67.23
0.998825,-67.22
0.998824,-67.21
0.998822,-67.2
0.99882,-67.19
0.998819,-67.18
0.998817,-67.17
0.998815,-67.16
0.998814,-67.15
0.998812,-67.14
0.99881,-67.13
0.998809,-67.12
0.998807,-67.11
0.998805,-67.1
0.998803,-67.09
0.998802,-67.08
0.9988,-67.07
0.998798,-67.06
0.998797,-67.05
0.998795,-67.04
0.998793,-67.03
0.998791,-67.02
0.99879,-67.01
0.998788,-67
0.998786,-66.99
0.998785,-66.98
0.998783,-66.97
0.998781,-66.96
0.998779,-66.95
0.998778,-66.94
0.998776,-66.93
0.998774,-66.92
0.998772,-66.91
0.998771,-66.9
0.998769,-66.89
0.998767,-66.88
0.998765,-66.87
0.998764,-66.86
0.998762,-66.85
0.99876,-66.84
0.998758,-66.83
0.998756,-66.82
0.998755,-66.81
0.998753,-66.8
0.998751,-66.79
0.998749,-66.78
0.998748,-66.77
0.998746,-66.76
0.998744,-66.75
0.998742,-66.74
0.99874,-66.73
0.998739,-66.72
0.998737,-66.71
0.998735,-66.7
0.998733,-66.69
0.998731,-66.68
0.99873,-66.67
0.998728,-66.66
0.998726,-66.65
0.998724,-66.64
0.998722,-66.63
0.99872,-66.62
0.998719,-66.61
0.998717,-66.6
0.998715,-66.59
0.998713,-66.58
0.998711,-66.57
0.998709,-66.56
0.998708,-66.55
0.998706,-66.54
0.998704,-66.53
0.998702,-66.52
0.9987,-66.51
0.998698,-66.5
0.998697,-66.49
0.998695,-66.48
0.998693,-66.47
0.998691,-66.46
0.998689,-66.45
0.998687,-66.44
0.998685,-66.43
0.998683,-66.42
0.998682,-66.41
0.99868,-66.4
0.998678,-66.39
0.998676,-66.38
0.998674,-66.37
0.998672,-66.36
0.99867,-66.35
0.998668,-66.34
0.998666,-66.33
0.998665,-66.32
0.998663,-66.31
0.998661,-66.3
0.998659,-66.29
0.998657,-66.28
0.998655,-66.27
0.998653,-66.26
0.998651,-66.25
0.998649,-66.24
0.998647,-66.23
0.998645,-66.22
0.998643,-66.21
0.998641,-66.2
0.99864,-66.19
0.998638,-66.18
0.998636,-66.17
0.998634,-66.16
0.998632,-66.15
0.99863,-66.14
0.998628,-66.13
